"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","pointsLo","pointsHi","vor","pick","risk","sdPts","sdPick","dropOffNorm","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstBlk","dstTd","fg","fgAtt","fg2029","fg3039","fg4049","fg50","xp","points"
"KENNETHHARPER","RB","NYG","averageRobust","Kenneth Harper",604,2015,213,732,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KENNETHHARPER","RB","NYG","averageWeighted","Kenneth Harper",604,2015,213,732,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STEVENHAUSCHKA","K","SEA","yahoo","Steven Hauschka",915,2015,52,732,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,34.5,8.4,8.5,7.7,2,39,0
"KESHAWNHILL","RB","KC","average","Keshawn Hill",610,2015,214,733,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KESHAWNHILL","RB","KC","averageRobust","Keshawn Hill",610,2015,214,733,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KESHAWNHILL","RB","KC","averageWeighted","Keshawn Hill",610,2015,214,733,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STLOUISRAMS","DST","STL","yahoo","St. Louis Rams",918,2015,29,733,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5728,47.3,0.5,12.8,11.1,24,0.1,4.2,NA,NA,NA,NA,NA,NA,NA,0
"KEVINMONANGAI","RB","PHI","average","Kevin Monangai",617,2015,215,734,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEVINMONANGAI","RB","PHI","averageRobust","Kevin Monangai",617,2015,215,734,0,0,-205.956571296007,NA,NA,NA,NA,0.635135388291321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEVINMONANGAI","RB","PHI","averageWeighted","Kevin Monangai",617,2015,215,734,0,0,-205.956571296007,NA,NA,NA,NA,0.636868354908211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TAMPABAYBUCCANEERS","DST","TB","yahoo","Tampa Bay Buccaneers",923,2015,30,734,0,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5982,37.7,0.5,14.7,11.3,19,0.1,3.5,NA,NA,NA,NA,NA,NA,NA,0
