"name","player","pos","team","overallRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","passAttMedian","passCompMedian","passIncompMedian","rushAttMedian","projectedPtsMean","projectedPtsMedian","pick","sdPts","sdPick","risk"
"MATTSCHAUB","Matt Schaub","QB","OAK",66,158.299822846583,189.14,192.12,35.42,127.1,NA,161.962,33.76,200.2,159.92,155.3,132.86,180,227.48,173.98,NA,NA,432.14994350101,251.75,173.65,18.5,150.67332967033,158.299822846583,194.4,58.455020545496,16.2,10.4835472931749
"CHRISJOHNSON","Chris Johnson","RB","NYJ",67,157.969167418991,150.14,164,147.1,161.2,NA,158.75,197.8,175.9,153.7,152,150,182.5,193.3,169.4,NA,138.5,0,0,0,227.626339305073,159.213095238095,157.969167418991,62.5248931623932,17.8092310457122,10.0678534072876,5.04622520712877
"VICTORCRUZ","Victor Cruz","WR","NYG",68,156.319791932258,167.24,152.3,129.1,146.2,NA,150.98,177.9,164.6,153.8,143.5,152.4,173.5,172.3,181.1,NA,150.8,0,0,0,0,157.609608225108,156.319791932258,44.5540598290598,14.8573202440805,7.87417995683338,4.45535227252032
"CORDARRELLEPATTERSON","Cordarrelle Patterson","WR","MIN",69,153.274228601247,75.56,131.5,147.9,139.8,NA,152.73,176.6,159.6,148,142,141.4,148.5,125.3,181.1,NA,146.98,0,0,0,12.7499456156808,151.459662337662,153.274228601247,41.7693376068376,24.8648495994727,6.07919264512693,5.42362650065727
"LARRYFITZGERALD","Larry Fitzgerald","WR","ARI",70,153.220131273866,105.12,175.1,159.1,154.8,NA,162.33,157.5,146.4,145.1,140,150.1,148,165.2,175.8,NA,156.62,0,0,0,1.5,154.012551948052,153.220131273866,43.0132478632479,17.3621349556954,5.4738490324681,4.47899223744039
"RAYRICE","Ray Rice","RB","BAL",71,152.61576770213,143.36,169.3,152.3,165.1,NA,162.16,144.5,171.3,131.3,134.5,138.1,141,169.3,161.5,NA,146.1,0,0,0,199.325,151.257095238095,152.61576770213,55.6201923076923,14.0073294001061,11.4213429428021,4.75365598835485
"BENTATE","Ben Tate","RB","CLE",72,152.540192188239,95.16,166.7,149.6,175.7,NA,155.47,179.8,142.2,141.7,147,148.9,138.5,157.7,166.9,NA,146.8,0,0,0,217.35,148.466571428571,152.540192188239,49.9768162393162,20.5346737185005,9.41363840777404,5.29138643088132
"PERCYHARVIN","Percy Harvin","WR","SEA",73,151.699839738141,-0.02,132.8,113.8,129.7,NA,143.74,132.9,169.2,143.4,134.5,141.1,168,167.7,172.2,NA,136,0,0,0,16.2777595274327,141.800318181818,151.699839738141,47.1002136752137,42.6186908643263,8.11089102210898,7.72611233482188
"JULIUSTHOMAS","Julius Thomas","TE","DEN",74,150.523402939994,163.36,157.1,158.3,164.3,164.3,158.18,169.5,155.5,144,156,131.3,139,108.1,148.8,NA,127.6,0,0,0,0,149.5985,150.523402939994,33.2639957264957,16.8697410712057,4.2858843898846,4.28828049356582
"RODDYWHITE","Roddy White","WR","ATL",75,150.007551526787,105.64,160.1,146.6,142.4,NA,152.07,161.6,159.9,147.8,149.5,145.3,150,178.2,177.1,NA,147.3,0,0,0,0,151.6905,150.007551526787,41.9483974358974,17.3219169592415,6.86821772245745,4.63060011520961
"BISHOPSANKEY","Bishop Sankey","RB","TEN",76,149.150453039984,NA,173.6,144.5,129.6,NA,153.08,190.1,161.4,139.8,148,160.6,165,122.3,168.1,NA,109.1,0,0,0,214,149.886117216117,149.150453039984,68.4674145299145,22.2602239258901,16.1603119720154,6.24933375971947
"PIERREGARCON","Pierre Garcon","WR","WAS",77,148.831758520371,136.68,157.1,144.8,150.8,NA,149.7,158.2,142,146.8,151,153.4,148.5,126.6,172.8,NA,148.35,0,0,0,1.99992825196456,150.133712121212,148.831758520371,42.0964743589744,10.6317262355298,7.50397953844345,3.92004539749943
"MICHAELFLOYD","Michael Floyd","WR","ARI",78,148.595890216339,136.6,155.8,149.8,137.6,NA,151.14,161.2,159.7,146.7,153,143.7,141,138.7,161.9,NA,144.3,0,0,0,0,148.586681818182,148.595890216339,47.3583333333333,8.79157151312151,8.48005354360662,3.81442009599606
"MICHAELCRABTREE","Michael Crabtree","WR","SF",79,146.841043709293,117.8,171.4,167.5,141.5,NA,159.85,161.6,151.6,129.8,131.5,141.9,152,121.7,174,NA,129.28,0,0,0,0,146.964145021645,146.841043709293,43.2581196581197,18.7391972836396,7.7596100128155,4.89614956346929
"ROBGRONKOWSKI","Rob Gronkowski","TE","NE",80,146.485074908012,142.56,161.4,162.3,140,140,150.85,197.1,128.7,168.2,148,128.9,155,98.7,149.4,NA,164.8,0,0,0,0,148.841347222222,146.485074908012,34.8528846153846,22.1242124853121,6.94988170792512,5.2009562352137
