"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"MATTSPAETH","Matt Spaeth","TE","PIT",305,NA,92,7.2000031797102,NA,NA,NA,NA,NA,13.3,10,NA,6.6,0.5,3,9,NA,NA,NA,13.21,6.95125,7.2000031797102,-90.082072584009,NA,4.88914395077795,2.99316869614644,7.00275216820262,0.197251011507575
"CHASEFORD","Chase Ford","TE","MIN",306,NA,93,7.0854092896471,NA,NA,NA,NA,NA,8.5,15.3,NA,NA,NA,2,5.5,NA,NA,NA,NA,6.26,7.0854092896471,-90.1966664740721,NA,5.64704937703458,3.17030805263026,6.83504752337907,0.250361766268036
"ARTHURLYNCH","Arthur Lynch","TE","MIA",307,NA,94,6.92009504675814,NA,NA,NA,NA,NA,14.1,NA,NA,5,NA,4.2,NA,NA,NA,NA,NA,5.825,6.92009504675814,-90.361980716961,NA,5.49939390599849,3.13579768469447,6.475,0.445095046758136
"ZACHPOTTER","Zach Potter","TE","HOU",308,NA,95,6.75,12.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,6.75,6.75,-90.5320757637192,NA,8.28729147550634,3.78739135891391,6.10000149556894,0.649998504431061
"KEVINOGLETREE","Kevin Ogletree","WR","DET",309,NA,125,32.0502642658492,NA,42.6,49.8,NA,NA,46.2,45.5,NA,9.9,12,15.2,NA,43.5,9.5,NA,14.7,26.2840909090909,32.0502642658492,-90.6330077990546,NA,17.7163107521478,5.99116289698995,31.7045080427019,0.345756223147259
"TRAVISBENJAMIN","Travis Benjamin","WR","CLE",310,NA,126,31.7484349157188,20.8,32.1,NA,NA,NA,21.89,30.3,NA,8.9,NA,25.1,7.5,45.6,28.8,NA,51.5,25.5270238095238,31.7484349157188,-90.934837149185,NA,13.9910768785759,5.12049287899646,31.5021137214847,0.246321194234042
"DWAYNEHARRIS","Dwayne Harris","WR","DAL",311,NA,127,31.6605811696851,20.18,NA,10.4,NA,NA,10.88,30.6,NA,23.4,5.5,19.8,28,62.2,44,NA,19.1,27.4140476190476,31.6605811696851,-91.0226908952187,NA,16.3265013788236,5.66633353240579,31.3118718751421,0.348709294542914
"KELLENWINSLOW","Kellen Winslow Jr","TE",NA,312,NA,96,6.2,12.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.5,NA,NA,NA,NA,18.645,6.2,-91.0820757637192,NA,35.3129126524562,10.103880168745,5.87500149556894,0.32499850443106
"CORYHARKEY","Cory Harkey","TE","STL",313,NA,97,6.00000299113788,NA,NA,NA,NA,NA,18.15,NA,NA,7,6,1.6,3,NA,NA,NA,NA,5.95833333333333,6.00000299113788,-91.2820727725813,NA,6.52629297534213,3.37580683889172,5.64174587229845,0.358257118839433
"ANDRECALDWELL","Andre Caldwell","WR","DEN",314,177,128,31.3436462732844,11.14,57.4,28.3,29.6,NA,39.53,54.4,39.5,19.8,7,18.7,11.5,28.3,29.8,NA,38.6,30.6983441558442,31.3436462732844,-91.3396257916193,3,15.3494106448051,3.96646619417622,31.2725169169085,0.0711293563759341
"EARLBENNETT","Earl Bennett","WR",NA,315,NA,129,31.2800974769999,3.5,50.9,NA,NA,NA,38.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.3966666666667,31.2800974769999,-91.4031745879038,NA,24.5331775357372,7.58441629437629,31.1893277025052,0.0907697744946603
"KESHAWNMARTIN","Keshawn Martin","WR","HOU",316,NA,130,31.264936356817,51.58,37.1,30.7,NA,NA,33.03,21.3,30.4,37.3,11,9.1,5,34.7,62.5,NA,36.5,30.9401923076923,31.264936356817,-91.4183357080867,NA,16.3051590073943,5.66134534547659,30.901936574878,0.362999781939067
"MIKETOLBERT","Mike Tolbert","RB","CAR",317,178.4,63,62.9501163289774,66.76,80.6,64.3,74,NA,74.55,65.1,NA,58.4,74,48,51.5,12.5,79.7,NA,63.9,62.886804029304,62.9501163289774,-91.4249261074759,14.9,18.0537845311568,5.61648440427477,58.7999314359907,4.15018489298667
