"name","pos","sourceName","name_yahoo","team_yahoo","positionRank","overallRank","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recTgt","recYds","recTds","returnTds","twoPts","fumbles","dstSack","dstSafety","dstInt","dstFumlRec","dstBlk","dstTd","fg","fg2029","fg3039","fg4049","fg50","points"
"TEVINCOLEMAN","RB","yahoo","Tevin Coleman","ATL",31,103,0,0,0,176,735,6.5,22.6,28,181,0.9,0,0.2,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.37
"NICKNOVAK","K","yahoo","Nick Novak","SD",17,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,7.5,10.5,6.2,2.6,132.65
"JEREMYMACLIN","WR","yahoo","Jeremy Maclin","KC",21,105,0,0,0,0,0,0,79.7,119,1028,4.9,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.24
"ADAMVINATIERI","K","yahoo","Adam Vinatieri","IND",18,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,6.3,6.6,8,2.9,132.06
"JARVISLANDRY","WR","yahoo","Jarvis Landry","MIA",22,107,0,0,0,4,26.6,0.1,87.7,131,925,5.1,1,0.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.65
"CALEBSTURGIS","K","yahoo","Caleb Sturgis","MIA",19,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,6.4,8.7,7.8,3.4,131.65
"RASHADJENNINGS","RB","yahoo","Rashad Jennings","NYG",32,109,0,0,0,188,752,6.5,18,23.2,140,0.7,0,0.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.64
"ISAIAHCROWELL","RB","yahoo","Isaiah Crowell","CLE",33,110,0,0,0,217,936,5.3,10.5,13.5,84.1,0.3,0,0.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.55
"GRAHAMGANO","K","yahoo","Graham Gano","CAR",20,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.2,7.9,8.3,7.7,3.1,131.13
"VINCENTJACKSON","WR","yahoo","Vincent Jackson","TB",23,112,0,0,0,0,0,0,65.9,115,1023,4.9,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.1
"SEBASTIANJANIKOWSKI","K","yahoo","Sebastian Janikowski","OAK",21,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,6.6,7.5,8.6,5.1,130.73
"DESEANJACKSON","WR","yahoo","DeSean Jackson","WAS",24,114,0,0,0,3.7,24.5,0.1,67.6,108,1026,4.2,0,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.56
"STLOUISRAMS","DST","yahoo","St. Louis Rams","STL",4,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3,0.5,12.8,11.1,0.1,4.2,NA,NA,NA,NA,NA,130.5
"ALLENROBINSON","WR","yahoo","Allen Robinson","JAC",25,116,0,0,0,0,0,0,78,127,1029,4.7,0,0.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.49
"NEWENGLANDPATRIOTS","DST","yahoo","New England Patriots","NE",5,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,0.1,14.3,12.5,0.1,4,NA,NA,NA,NA,NA,130.49
"DAVANTEADAMS","WR","yahoo","Davante Adams","GB",26,118,0,0,0,0,0,0,63.6,101,925,6.4,0,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.38
