"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","points"
"DEVINFUNCHESS","WR","espn","Devin Funchess","CAR",37,146,0,0,0,0,0,0,0,0,63,801,6,116
"KAIFORBATH","K","espn","Kai Forbath","WAS",33,147,0,0,0,0,0,0,0,0,0,0,0,116
"RYANSUCCOP","K","espn","Ryan Succop","TEN",34,148,0,0,0,0,0,0,0,0,0,0,0,116
"JASONMYERS","K","espn","Jason Myers","JAC",35,149,0,0,0,0,0,0,0,0,0,0,0,116
"GREGOLSEN","TE","espn","Greg Olsen","CAR",4,150,0,0,0,0,0,0,0,0,71,866,5,115.3
"ERICDECKER","WR","espn","Eric Decker","NYJ",38,151,0,0,0,0,0,0,0,0,70,918,4,115
"BISHOPSANKEY","RB","espn","Bishop Sankey","TEN",37,152,0,0,0,0,0,178,746,5,19,141,0,114.3
"PHILADELPHIAEAGLES","DST","espn","Philadelphia Eagles","PHI",7,153,0,0,0,0,0,0,0,0,0,0,0,114
"DENVERBRONCOS","DST","espn","Denver Broncos","DEN",8,154,0,0,0,0,0,0,0,0,0,0,0,113
"DOUGBALDWIN","WR","espn","Doug Baldwin","SEA",39,155,0,0,0,0,0,2,14,0,61,814,5,112.7
"PIERREGARCON","WR","espn","Pierre Garcon","WAS",40,156,0,0,0,0,0,0,0,0,70,888,4,112
"STEVESMITH","WR","espn","Steve Smith Sr.","BAL",41,157,0,0,0,0,0,0,0,0,63,837,5,111.1
"NEWYORKJETS","DST","espn","New York Jets","NYJ",9,158,0,0,0,0,0,0,0,0,0,0,0,111
"RYANMATHEWS","RB","espn","Ryan Mathews","PHI",38,159,0,0,0,0,0,160,724,4,14,112,1,110.4
"DUKEJOHNSON","RB","espn","Duke Johnson","CLE",39,160,0,0,0,0,0,115,521,3,45,366,1,110.3
"SHANEVEREEN","RB","espn","Shane Vereen","NYG",40,161,0,0,0,0,0,90,377,3,47,432,2,110.2
"TRAVISCOONS","K","espn","Travis Coons","CLE",36,162,0,0,0,0,0,0,0,0,0,0,0,110
"MARQUESCOLSTON","WR","espn","Marques Colston","NO",42,163,0,0,0,0,0,0,0,0,53,795,5,109
"BALTIMORERAVENS","DST","espn","Baltimore Ravens","BAL",10,164,0,0,0,0,0,0,0,0,0,0,0,109
"DEVANTEPARKER","WR","espn","DeVante Parker","MIA",43,165,0,0,0,0,0,0,0,0,57,787,5,108
"GREENBAYPACKERS","DST","espn","Green Bay Packers","GB",11,166,0,0,0,0,0,0,0,0,0,0,0,108
"RODDYWHITE","WR","espn","Roddy White","ATL",44,167,0,0,0,0,0,0,0,0,63,793,5,107.1
"KENDALLWRIGHT","WR","espn","Kendall Wright","TEN",45,168,0,0,0,0,0,4,25,0,76,836,4,107
"ANQUANBOLDIN","WR","espn","Anquan Boldin","SF",46,169,0,0,0,0,0,0,0,0,72,890,3,107
"MARTELLUSBENNETT","TE","espn","Martellus Bennett","CHI",5,170,0,0,0,0,0,0,0,0,72,777,5,106.9
"DANNYWOODHEAD","RB","espn","Danny Woodhead","SD",41,171,0,0,0,0,0,78,337,1,55,516,3,106.2
"TERRANCEWILLIAMS","WR","espn","Terrance Williams","DAL",47,172,0,0,0,0,0,0,0,0,42,697,6,105
"TAMPABAYBUCCANEERS","DST","espn","Tampa Bay Buccaneers","TB",12,173,0,0,0,0,0,0,0,0,0,0,0,105
"STEVIEJOHNSON","WR","espn","Stevie Johnson","SD",48,174,0,0,0,0,0,0,0,0,56,749,5,104
"CAROLINAPANTHERS","DST","espn","Carolina Panthers","CAR",13,175,0,0,0,0,0,0,0,0,0,0,0,104
"JASONWITTEN","TE","espn","Jason Witten","DAL",6,176,0,0,0,0,0,0,0,0,58,670,6,103
"EDDIEROYAL","WR","espn","Eddie Royal","CHI",49,177,0,0,0,0,0,0,0,0,67,795,4,102.4
"CODYLATIMER","WR","espn","Cody Latimer","DEN",50,178,0,0,0,0,0,0,0,0,54,721,5,102
"MALCOMFLOYD","WR","espn","Malcom Floyd","SD",51,179,0,0,0,0,0,0,0,0,42,729,5,102
"DETROITLIONS","DST","espn","Detroit Lions","DET",14,180,0,0,0,0,0,0,0,0,0,0,0,102
"CINCINNATIBENGALS","DST","espn","Cincinnati Bengals","CIN",15,181,0,0,0,0,0,0,0,0,0,0,0,102
