"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"MARCUSMURPHY","RB","fp","Marcus Murphy","NO",158,532,NA,NA,NA,NA,NA,4.1,15.9,0.2,2.4,20,0.1,NA,NA,0.1,NA,NA,5
"JEFFJANIS","WR","fp","Jeff Janis","GB",190,533,NA,NA,NA,NA,NA,0,0,0,3.1,41.7,0.1,NA,NA,0,NA,NA,5
"KRISDURHAM","WR","fp","Kris Durham","OAK",191,534,NA,NA,NA,NA,NA,0,0,0,5.2,49.5,0,NA,NA,0,NA,NA,5
"MIKEBROWN","WR","fp","Mike Brown","CAR",192,535,NA,NA,NA,NA,NA,0,0,0,3,50,0,NA,NA,0,NA,NA,5
"RODNEYSM","WR","fp","Rodney Sm","ith",193,536,NA,NA,NA,NA,NA,0,0,0,4.4,49.8,0,NA,NA,0,NA,NA,5
"MATTHAZEL","WR","fp","Matt Hazel","MIA",194,537,NA,NA,NA,NA,NA,0,0,0,3.1,37.5,0.2,NA,NA,0,NA,NA,5
"JORDANTHOMPSON","TE","fp","Jordan Thompson","DET",99,538,NA,NA,NA,NA,NA,NA,NA,NA,4.1,37.6,0.2,NA,NA,0,NA,NA,4.9
"CLAYHARBOR","TE","fp","Clay Harbor","JAC",100,539,NA,NA,NA,NA,NA,NA,NA,NA,3.8,38.6,0.2,NA,NA,0.1,NA,NA,4.9
"ORLEANSDARKWA","RB","fp","Orleans Darkwa","NYG",159,540,NA,NA,NA,NA,NA,4.5,13.5,0.1,2.5,24.7,0.1,NA,NA,0.1,NA,NA,4.8
"RONNIEBR","RB","fp","Ronnie Br","own",160,541,NA,NA,NA,NA,NA,6,24.3,0.1,2.4,16.8,0,NA,NA,0,NA,NA,4.8
"MARCUSTHIGPEN","RB","fp","Marcus Thigpen","BUF",161,542,NA,NA,NA,NA,NA,2.9,8.8,0.1,4.5,26.2,0.1,NA,NA,0,NA,NA,4.7
"CHARCANDRICKWEST","RB","fp","Charcandrick West","KC",162,543,NA,NA,NA,NA,NA,5.6,19.8,0.1,2.7,17.7,0.1,NA,NA,0.1,NA,NA,4.7
"BRYCEBROWN","RB","fp","Bryce Brown","BUF",163,544,NA,NA,NA,NA,NA,6.3,24.1,0,2.2,22.1,0,NA,NA,0.1,NA,NA,4.7
"SCOTTTOLZIEN","QB","fp","Scott Tolzien","GB",55,545,11.4,7.2,80.7,0.3,0.3,1,5.4,0.1,NA,NA,NA,NA,NA,0.1,NA,NA,4.6
"KELLENDAVIS","TE","fp","Kellen Davis","NYJ",101,546,NA,NA,NA,NA,NA,NA,NA,NA,3.3,34.3,0.2,NA,NA,0,NA,NA,4.6
"LACHESEASTR","RB","fp","Lache Seastr","unk",164,547,NA,NA,NA,NA,NA,5.1,21.1,0.1,1.5,13.1,0.1,NA,NA,0,NA,NA,4.5
"DARRINREAVES","RB","fp","Darrin Reaves","KC",165,548,NA,NA,NA,NA,NA,6,21.6,0.1,2.3,16.4,0.1,NA,NA,0,NA,NA,4.5
"JAMESHANNA","TE","fp","James Hanna","DAL",102,549,NA,NA,NA,NA,NA,NA,NA,NA,3.6,36.6,0.1,NA,NA,0,NA,NA,4.5
